Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca,Ocupacao
60.0,5681.0,368.0,Sudeste,Feminino,Basico,Preco Alto,Professor
21.0,6172.0,263.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
21.0,7662.0,263.0,Desconhecido,Feminino,Nao especificado,Atendimento Ruim,Desempregado
34.0,3782.0,394.0,Desconhecido,Desconhecido,Basico,Atendimento Ruim,Professor
43.0,7662.0,339.0,Nordeste,Masculino,Basico,Cobertura Ruim,Professor
47.0,4396.0,94.0,Nordeste,Feminino,Premium,Cobertura Ruim,Professor
43.0,7662.0,287.0,Sudeste,Masculino,Basico,Preco Alto,Desempregado
43.0,5783.0,227.0,Sudeste,Masculino,Premium,Atendimento Ruim,Autônomo
37.0,7662.0,350.0,Nordeste,Desconhecido,Basico,Preco Alto,Autônomo
43.0,2845.0,62.0,Sudeste,Feminino,Premium,Cobertura Ruim,Desempregado
49.0,15393.0,213.0,Desconhecido,Feminino,Premium,Preco Alto,Professor
43.0,8198.0,117.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Professor
31.0,10690.0,459.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Professor
64.0,7662.0,437.0,Sudeste,Desconhecido,Nao especificado,Preco Alto,Professor
43.0,3239.0,263.0,Sudeste,Masculino,Basico,Cobertura Ruim,Desempregado
59.0,3383.0,316.0,Sudeste,Masculino,Intermediario,Cobertura Ruim,Desempregado
32.0,11557.0,401.0,Norte,Desconhecido,Intermediario,Cobertura Ruim,Autônomo
20.0,13604.0,263.0,Nordeste,Feminino,Intermediario,Cobertura Ruim,Professor
43.0,17978.0,263.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Autônomo
64.0,6369.0,263.0,Nordeste,Outro,Basico,Preco Alto,Professor
60.0,7178.0,385.0,Sudeste,Feminino,Basico,Preco Alto,Autônomo
32.0,7274.0,363.0,Sudeste,Masculino,Basico,Atendimento Ruim,Professor
65.0,7662.0,446.0,Sudeste,Desconhecido,Basico,Preco Alto,Professor
42.0,7662.0,263.0,Sul,Masculino,Nao especificado,Atendimento Ruim,Professor
20.0,16116.0,248.0,Sudeste,Masculino,Intermediario,Cobertura Ruim,Professor
43.0,7662.0,198.0,Norte,Feminino,Basico,Cobertura Ruim,Autônomo
42.0,16681.0,269.0,Nordeste,Masculino,Basico,Cobertura Ruim,Autônomo
43.0,5191.0,122.0,Norte,Feminino,Nao especificado,Preco Alto,Desempregado
22.0,7662.0,469.0,Centro-Oeste,Desconhecido,Nao especificado,Cobertura Ruim,Professor
66.0,8848.0,263.0,Sudeste,Feminino,Basico,Atendimento Ruim,Desempregado
54.0,2627.0,263.0,Nordeste,Feminino,Nao especificado,Atendimento Ruim,Professor
43.0,18024.0,263.0,Sudeste,Feminino,Basico,Cobertura Ruim,Professor
47.0,15445.0,263.0,Sul,Desconhecido,Nao especificado,Preco Alto,Professor
50.0,11644.0,431.0,Desconhecido,Masculino,Intermediario,Preco Alto,Desempregado
38.0,19699.0,449.0,Centro-Oeste,Feminino,Basico,Atendimento Ruim,Professor
