Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca
60.0,5681.0,368.0,Sudeste,Feminino,Basico,Preco Alto
21.0,6172.0,214.275,Sudeste,Masculino,Basico,Cobertura Ruim
21.0,7569.545,267.62,Norte,Feminino,Intermediario,Atendimento Ruim
34.0,3782.0,394.0,Sudeste,Masculino,Basico,Atendimento Ruim
49.56,8875.02,339.0,Nordeste,Masculino,Basico,Cobertura Ruim
47.0,4396.0,94.0,Nordeste,Feminino,Premium,Cobertura Ruim
48.49,5938.65,287.0,Sudeste,Masculino,Basico,Preco Alto
37.74,5783.0,227.0,Sudeste,Masculino,Premium,Atendimento Ruim
37.0,8017.56,350.0,Nordeste,Masculino,Basico,Preco Alto
43.0,2845.0,62.0,Sudeste,Feminino,Premium,Preco Alto
49.0,15393.0,213.0,Sudeste,Feminino,Premium,Preco Alto
41.82,8198.0,117.0,Nordeste,Feminino,Basico,Cobertura Ruim
31.0,10690.0,459.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
64.0,8446.12,437.0,Sudeste,Feminino,Basico,Preco Alto
44.885,3239.0,295.04,Sudeste,Masculino,Basico,Cobertura Ruim
59.0,3383.0,316.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
32.0,11557.0,401.0,Norte,Masculino,Intermediario,Cobertura Ruim
20.0,13604.0,174.685,Nordeste,Feminino,Intermediario,Cobertura Ruim
43.0,17978.0,263.0,Norte,Masculino,Basico,Cobertura Ruim
64.0,6369.0,293.185,Nordeste,Outro,Basico,Cobertura Ruim
60.0,7178.0,385.0,Sudeste,Feminino,Basico,Preco Alto
32.0,7274.0,363.0,Sudeste,Masculino,Basico,Atendimento Ruim
65.0,8226.445,446.0,Sudeste,Feminino,Basico,Preco Alto
42.0,10426.71,309.005,Sul,Masculino,Intermediario,Atendimento Ruim
20.0,16116.0,248.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
54.22,10256.575,198.0,Norte,Feminino,Basico,Cobertura Ruim
42.0,16681.0,269.0,Nordeste,Masculino,Basico,Cobertura Ruim
32.22,5191.0,122.0,Norte,Feminino,Basico,Preco Alto
22.0,9609.48,469.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
66.0,8848.0,244.55,Sudeste,Feminino,Basico,Atendimento Ruim
54.0,2627.0,255.225,Nordeste,Feminino,Basico,Atendimento Ruim
42.85,18024.0,320.08,Sudeste,Feminino,Basico,Cobertura Ruim
47.0,15445.0,230.755,Sul,Masculino,Basico,Preco Alto
50.0,11644.0,431.0,Norte,Masculino,Intermediario,Preco Alto
38.0,19699.0,449.0,Centro-Oeste,Feminino,Basico,Atendimento Ruim
51.0,1522.0,342.82,Sudeste,Masculino,Basico,Atendimento Ruim
18.0,10926.735,151.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
