,Ocupacao,Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca
0,Engenheiro,60.0,5681.0,368.0,Sudeste,Feminino,Basico,Preco Alto
1,Engenheiro,21.0,6172.0,261.08,Norte,Masculino,Basico,Cobertura Ruim
2,Engenheiro,21.0,9686.09,262.89,Norte,Feminino,Basico,Atendimento Ruim
3,Engenheiro,34.0,3782.0,394.0,Sudeste,Masculino,Basico,Atendimento Ruim
4,Engenheiro,52.31,9511.08,339.0,Nordeste,Masculino,Basico,Cobertura Ruim
5,Engenheiro,47.0,4396.0,94.0,Nordeste,Feminino,Premium,Cobertura Ruim
6,Engenheiro,47.11,7566.93,287.0,Sudeste,Masculino,Basico,Preco Alto
7,Engenheiro,34.82,5783.0,227.0,Sudeste,Masculino,Premium,Atendimento Ruim
8,Engenheiro,37.0,8342.02,350.0,Nordeste,Masculino,Basico,Preco Alto
9,Engenheiro,43.0,2845.0,62.0,Sudeste,Feminino,Premium,Cobertura Ruim
10,Engenheiro,49.0,15393.0,213.0,Sudeste,Feminino,Premium,Preco Alto
11,Engenheiro,45.27,8198.0,117.0,Norte,Feminino,Basico,Cobertura Ruim
12,Engenheiro,31.0,10690.0,459.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
13,Engenheiro,64.0,9210.0,437.0,Sudeste,Feminino,Basico,Preco Alto
14,Engenheiro,38.36,3239.0,246.67,Sudeste,Masculino,Basico,Cobertura Ruim
15,Engenheiro,59.0,3383.0,316.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
16,Engenheiro,32.0,11557.0,401.0,Norte,Masculino,Intermediario,Cobertura Ruim
17,Engenheiro,20.0,13604.0,196.82,Nordeste,Feminino,Intermediario,Cobertura Ruim
18,Engenheiro,43.0,17978.0,263.0,Norte,Masculino,Basico,Cobertura Ruim
19,Engenheiro,64.0,6369.0,309.26,Nordeste,Outro,Basico,Preco Alto
20,Engenheiro,60.0,7178.0,385.0,Sudeste,Feminino,Basico,Preco Alto
21,Engenheiro,32.0,7274.0,363.0,Sudeste,Masculino,Basico,Atendimento Ruim
22,Engenheiro,65.0,8115.39,446.0,Sudeste,Feminino,Basico,Preco Alto
23,Engenheiro,42.0,9179.9,302.69,Sul,Masculino,Intermediario,Atendimento Ruim
24,Engenheiro,20.0,16116.0,248.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
25,Engenheiro,53.89,10955.53,198.0,Norte,Feminino,Basico,Cobertura Ruim
26,Engenheiro,42.0,16681.0,269.0,Nordeste,Masculino,Basico,Cobertura Ruim
27,Engenheiro,33.55,5191.0,122.0,Norte,Feminino,Basico,Preco Alto
28,Engenheiro,22.0,13445.75,469.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
29,Engenheiro,66.0,8848.0,243.89,Sudeste,Feminino,Basico,Atendimento Ruim
